Type	B_Start	B_End	B_Peak	C_Index	C_Beg	C_End	C_Peak
decel	252	334	285	-842150451	-842150451	-842150451	-842150451	
decel	367	574	509	-842150451	-842150451	-842150451	-842150451	
accel	4	739	139	-842150451	-842150451	-842150451	-842150451	
decel	704	779	735	-842150451	-842150451	-842150451	-842150451	
accel	976	1306	1104	-842150451	-842150451	-842150451	-842150451	
accel	1645	1764	1707	-842150451	-842150451	-842150451	-842150451	
accel	1867	1974	1918	-842150451	-842150451	-842150451	-842150451	
decel	1049	2411	1424	-842150451	-842150451	-842150451	-842150451	
accel	2407	2496	2453	-842150451	-842150451	-842150451	-842150451	
decel	2544	2705	2606	-842150451	-842150451	-842150451	-842150451	
accel	2665	3021	2804	-842150451	-842150451	-842150451	-842150451	
decel	3147	3290	3229	-842150451	-842150451	-842150451	-842150451	
accel	3291	3459	3375	-842150451	-842150451	-842150451	-842150451	
accel	3586	3703	3641	-842150451	-842150451	-842150451	-842150451	
decel	3517	4119	3925	-842150451	-842150451	-842150451	-842150451	
accel	4024	4165	4050	-842150451	-842150451	-842150451	-842150451	
accel	4265	5339	4926	-842150451	-842150451	-842150451	-842150451	
accel	5343	5407	5376	-842150451	-842150451	-842150451	-842150451	
decel	5408	5483	5442	-842150451	-842150451	-842150451	-842150451	
accel	5510	5678	5592	-842150451	-842150451	-842150451	-842150451	
decel	5684	5785	5732	-842150451	-842150451	-842150451	-842150451	
decel	6262	6463	6391	-842150451	-842150451	-842150451	-842150451	
accel	6426	6745	6593	-842150451	-842150451	-842150451	-842150451	
decel	6745	6956	6846	-842150451	-842150451	-842150451	-842150451	
accel	7724	7925	7834	-842150451	-842150451	-842150451	-842150451	
decel	7904	8626	8228	-842150451	-842150451	-842150451	-842150451	
decel	8673	8866	8780	-842150451	-842150451	-842150451	-842150451	
accel	8627	9509	9217	-842150451	-842150451	-842150451	-842150451	
accel	9565	9681	9639	-842150451	-842150451	-842150451	-842150451	
decel	9695	9789	9745	-842150451	-842150451	-842150451	-842150451	
accel	9790	9862	9817	-842150451	-842150451	-842150451	-842150451	
decel	10059	10205	10141	-842150451	-842150451	-842150451	-842150451	
accel	10229	10314	10270	-842150451	-842150451	-842150451	-842150451	
decel	10346	10481	10414	-842150451	-842150451	-842150451	-842150451	
accel	10493	10620	10558	-842150451	-842150451	-842150451	-842150451	
decel	10639	10802	10712	-842150451	-842150451	-842150451	-842150451	
accel	10835	10914	10873	-842150451	-842150451	-842150451	-842150451	
